name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
PJ Moor,ZIM,2016-2019,21,19,4,364,92*,24.26,286,127.27,0,1,0,22,24
Mohamed Rishwan,Mald,2019-2021,18,17,0,363,67,21.35,354,102.54,0,3,0,29,18
Nasir Jamshed,PAK,2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
L Ronchi,AUS/ICC/NZ,2008-2018,33,26,6,359,51*,17.95,256,140.23,0,1,5,30,14
Basil George,MLT,2021-2022,15,15,0,358,60,23.86,287,124.73,0,2,0,29,15
CJ Jordan,ENG,2014-2022,75,43,19,358,36,14.91,271,132.10,0,0,3,24,18
MJ Santner,NZ,2015-2021,62,43,19,358,37,14.91,290,123.44,0,0,4,25,11
RB Patel,UGA,2021-2021,19,16,5,357,68*,32.45,320,111.56,0,2,2,35,5
Anamul Haque,BAN,2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12
MC Henriques,AUS,2009-2021,24,21,4,355,62*,20.88,285,124.56,0,2,0,17,15
HL Carlyon,JER,2019-2022,18,17,0,353,56,20.76,313,112.77,0,3,3,41,8
TC Barker,LUX,2019-2021,12,12,0,352,78,29.33,288,122.22,0,2,0,32,5
SA Yadav,INDIA,2021-2022,14,12,3,351,65,39.00,212,165.56,0,4,1,32,20
Aarif Sheikh,NEPAL,2018-2022,27,21,4,350,39*,20.58,333,105.10,0,0,1,30,6
OA Shah,ENG,2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13
MJ Richardson,GER,2019-2022,16,16,5,346,61*,31.45,336,102.97,0,2,0,33,3
L Siaka,PNG,2015-2022,34,30,2,346,39,12.35,332,104.21,0,0,6,32,8
PWH de Silva,SL,2019-2022,35,29,6,345,71,15.00,286,120.62,0,1,3,35,2
TM Head,AUS,2016-2022,17,16,3,345,48*,26.53,259,133.20,0,0,0,22,11
SO Tikolo,KENYA,2007-2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6
S Chanderpaul,WI,2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
J Mees,LUX,2019-2021,16,15,3,343,67*,28.58,267,128.46,0,2,2,37,9
Imad Wasim,PAK,2015-2021,58,37,11,339,47,13.03,236,143.64,0,0,6,35,8
Faisal Khan,Saudi,2019-2021,11,11,1,337,83*,33.70,185,182.16,0,1,1,38,20
H Gori,CZK-R,2019-2020,11,11,0,337,66,30.63,255,132.15,0,1,1,36,17
A Symonds,AUS,2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10
WIA Fernando,SL,2019-2022,32,30,2,336,37,12.00,355,94.64,0,0,4,26,7
N Davin,NAM,2019-2019,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15
SR Taylor,USA,2019-2021,14,11,2,335,72,37.22,246,136.17,0,2,1,36,14
Karim Janat,AFG,2016-2022,34,22,3,333,53,17.52,286,116.43,0,1,2,25,15
Adnan Idrees,KUW,2019-2021,10,10,0,332,80,33.20,209,158.85,0,3,0,44,12
Faisal Javed,QAT,2019-2019,15,15,0,330,61,22.00,212,155.66,0,2,1,45,11
V Vijh,LUX,2019-2021,16,16,3,330,64*,25.38,337,97.92,0,1,0,28,6
SR Thompson,IRE,2014-2019,41,30,8,328,56,14.90,254,129.13,0,1,1,23,14
T Banton,ENG,2019-2022,14,14,0,327,73,23.35,221,147.96,0,2,0,29,17
AC Douglas,BMUDA,2019-2021,16,15,1,327,74,23.35,236,138.55,0,2,1,33,19
RJ Nicol,NZ,2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
RR Rossouw,SA,2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12
RA Jadeja,INDIA,2009-2022,58,29,14,326,45*,21.73,262,124.42,0,0,2,25,8
S Vesawkar,NEPAL,2014-2022,20,19,5,325,40,23.21,328,99.08,0,0,0,26,7
Hamza Tariq,CAN,2013-2022,26,20,9,324,63*,29.45,201,161.19,0,3,2,27,14
LE Bosman,SA,2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
TWM Latham,NZ,2012-2021,18,15,2,322,65*,24.76,303,106.27,0,2,0,22,5
Anshuman Rath,HKG,2015-2017,20,19,2,321,44,18.88,344,93.31,0,0,1,31,2
S Periyalwar,ROM,2019-2022,19,16,7,321,105*,35.66,259,123.93,1,1,1,36,8
PBB Rajapaksa,SL,2019-2021,18,15,3,320,77,26.66,235,136.17,0,2,2,25,18
B Bhandari,NEPAL,2014-2021,35,27,7,319,58*,15.95,292,109.24,0,2,1,24,12
NG Collins,Fin,2019-2022,12,12,1,319,64*,29.00,321,99.37,0,3,0,28,2
M Taylor,Bhm,2021-2022,11,11,0,319,67,29.00,271,117.71,0,3,1,26,18
Bakhtiar Tahiri,BUL,2020-2021,12,11,1,317,66,31.70,271,116.97,0,1,0,31,15
KS Leverock,BMUDA,2019-2021,18,18,3,317,54,21.13,243,130.45,0,1,4,22,18
Zaheer Ibrahim,QAT,2019-2021,24,22,5,317,50,18.64,280,113.21,0,1,3,35,8
BDH Stevens,JER,2019-2019,17,17,1,316,44,19.75,315,100.31,0,0,1,30,6
NJ Ferraby,JER,2019-2021,18,18,1,314,81*,18.47,284,110.56,0,1,3,39,2
Manpreet Singh,SGP,2019-2020,15,14,2,312,42*,26.00,267,116.85,0,0,0,21,6
N Nipiko,VAN,2019-2019,14,14,2,312,62,26.00,297,105.05,0,2,1,16,13
Sami Sohail,MWI,2019-2021,13,11,7,312,84*,78.00,272,114.70,0,2,1,23,5
Shaheryar Butt,Belg,2019-2021,11,10,3,311,125*,44.42,191,162.82,1,1,1,22,21
MWR Stokes,GUE,2019-2022,16,14,3,311,48,28.27,308,100.97,0,0,0,24,5
CR Brathwaite,WI,2011-2019,41,27,6,310,37*,14.76,274,113.13,0,0,3,13,22
B Ward,JER,2019-2021,19,17,5,310,58*,25.83,253,122.52,0,1,1,15,19
JJ Atkinson,HKG,2014-2020,17,16,2,309,53,22.07,277,111.55,0,2,3,31,9
ML Hayden,AUS,2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13
Waqas Barkat,HKG,2014-2020,30,25,3,307,37,13.95,333,92.19,0,0,3,25,0
Razmal Shigiwal,Aut,2019-2021,12,10,2,306,70,38.25,224,136.60,0,3,0,18,15
SD Hope,WI,2017-2022,19,17,0,304,55,17.88,251,121.11,0,2,1,32,10
II Selemani,TAN,2021-2021,10,10,1,302,81,33.55,183,165.02,0,2,1,36,16
CN Ackermann,NED,2019-2021,14,14,3,300,43*,27.27,253,118.57,0,0,0,21,7
XM Marshall,USA/WI,2008-2021,20,18,1,300,47*,17.64,290,103.44,0,0,2,26,9
NL McCullum,NZ,2007-2016,63,41,15,299,36*,11.50,297,100.67,0,0,4,19,8
RR Sarwan,WI,2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
SSM Stanislaus,MLT,2020-2022,23,19,4,298,42*,19.86,287,103.83,0,0,0,21,11
Awais Ahmed,ESP,2019-2022,18,13,2,297,102*,27.00,258,115.11,1,0,2,24,11
BBJL Perera,ITA,2019-2021,14,12,2,297,67,29.70,258,115.11,0,1,0,30,8
H Patel,CAN,2010-2021,15,15,1,294,88*,21.00,285,103.15,0,2,2,28,3
CA Lynn,AUS,2014-2018,18,16,1,291,44,19.40,221,131.67,0,0,1,28,14
HDRL Thirimanne,SL,2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
Haroon Arshad,HKG,2019-2020,17,15,4,289,68,26.27,213,135.68,0,1,0,22,9
Ishan Kishan,INDIA,2021-2022,10,10,1,289,89,32.11,238,121.42,0,2,0,34,8
AN Kervezee,NED,2009-2012,10,10,1,289,58*,32.11,262,110.30,0,2,0,19,6
Amoluk Singh,Ghana,2021-2021,10,10,2,289,80*,36.12,223,129.59,0,2,1,43,7
Simi Singh,IRE,2018-2022,47,37,10,289,57*,10.70,264,109.46,0,1,6,17,8
LS Livingstone,ENG,2017-2022,17,13,1,285,103,23.75,180,158.33,1,0,1,14,20
A Bagai,CAN,2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0
Mohammad Shahzad,UAE,2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11
P Mishra,BUL,2019-2022,28,26,1,280,53,11.20,226,123.89,0,1,3,21,21
Aminuddin Ramly,MAL,2019-2021,23,21,4,280,41,16.47,189,148.14,0,0,1,13,20
TC Bruce,NZ,2017-2020,17,17,2,279,59*,18.60,228,122.36,0,2,2,24,7
AC Agar,AUS,2016-2022,43,27,5,277,29,12.59,272,101.83,0,0,3,19,9
Azhar Andani,PORT,2021-2021,4,4,0,276,100,69.00,179,154.18,1,1,0,27,6
Karan KC,NEPAL,2015-2022,38,23,6,276,45,16.23,171,161.40,0,0,2,14,23
SC Getkate,IRE,2019-2022,30,26,3,275,30,11.95,246,111.78,0,0,1,10,15
S Muniandy,MAL,2019-2022,32,27,9,275,28,15.27,208,132.21,0,0,3,19,14
Shadab Khan,PAK,2017-2021,64,26,11,275,42,18.33,201,136.81,0,0,3,15,17
TAM Siriwardana,SL,2015-2017,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12
DG Blampied,JER,2019-2022,26,22,9,273,43*,21.00,273,100.00,0,0,2,17,0
Sohaib Maqsood,PAK,2013-2021,26,22,2,273,37,13.65,234,116.66,0,0,2,20,11
AC Gilchrist,AUS,2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
Amjad Javed,UAE,2014-2017,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15
Iftikhar Ahmed,PAK,2016-2022,18,16,7,271,62*,30.11,202,134.15,0,1,0,22,8
BR McDermott,AUS,2018-2022,23,21,4,269,53,15.82,285,94.38,0,1,3,16,8
MV Boucher,SA,2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2
FA Allen,WI,2018-2022,34,24,8,267,34,16.68,195,136.92,0,0,4,15,21
Ahmed Hassan,Mald,2019-2021,15,14,0,266,53,19.00,289,92.04,0,1,0,25,4
PK Matautaava,VAN,2019-2019,10,10,0,265,103,26.50,156,169.87,1,1,2,19,20
JO Holder,WI,2014-2022,37,24,8,264,36,16.50,218,121.10,0,0,2,14,16
Muhammad Kashif,KUW,2019-2021,17,14,4,264,53,26.40,251,105.17,0,2,1,15,14
Zeeshan Kukikhel,HUN,2021-2021,4,4,0,263,82,65.75,150,175.33,0,3,0,37,10
Shahid Wasif,HKG,2016-2020,18,17,4,261,50,20.07,233,112.01,0,1,1,20,8
Bilal Zalmai,Aut,2019-2021,8,7,1,259,111*,43.16,148,175.00,1,0,0,23,16
Faheem Ashraf,PAK,2017-2021,42,29,7,259,31,11.77,202,128.21,0,0,4,15,15
T Taibu,ZIM,2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2
Adnan Ilyas,OMA,2015-2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8
Najeeb Tarakai,AFG,2014-2019,12,12,0,258,90,21.50,210,122.85,0,1,1,21,13
Khurram Nawaz,OMA,2017-2022,24,18,5,257,58,19.76,215,119.53,0,1,1,17,12
Saim Hussain,BUL,2022-2022,6,6,1,257,108*,51.40,159,161.63,1,2,1,22,10
MR Adair,IRE,2019-2022,39,29,8,256,38,12.19,229,111.79,0,0,2,13,10
I Udana,SL,2009-2021,35,25,11,256,84*,18.28,186,137.63,0,1,3,16,14
SE Marsh,AUS,2008-2016,15,15,1,255,47*,18.21,248,102.82,0,0,2,15,10
O Tuyisenge,RWN,2021-2021,11,11,2,255,100*,28.33,180,141.66,1,0,0,29,5
K Nassoro,TAN,2021-2021,10,10,5,254,59*,50.80,186,136.55,0,1,0,20,9
SF Mire,ZIM,2018-2019,9,8,0,253,94,31.62,196,129.08,0,2,0,23,13
Abhijeet Ahuja,HUN,2021-2022,10,10,1,252,75,28.00,237,106.32,0,2,2,21,5
Dylan Steyn,CZK-R,2022-2022,6,6,0,252,106,42.00,165,152.72,1,1,0,31,6
V Saini,ROM,2020-2022,18,14,6,252,60*,31.50,174,144.82,0,1,0,21,6
D Muhumuza,UGA,2019-2022,27,18,7,250,59*,22.72,227,110.13,0,1,1,21,10
DT Johnston,IRE,2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
TG Southee,NZ,2008-2021,92,36,14,249,39,11.31,175,142.28,0,0,4,16,16
RV Uthappa,INDIA,2007-2015,13,12,2,249,50,24.90,211,118.00,0,1,1,26,6
R Bakum,Ghana,2019-2021,15,14,1,245,66,18.84,186,131.72,0,2,3,19,15
IO Okpe,NGA,2019-2021,20,18,1,244,36,14.35,255,95.68,0,0,1,7,9
CJ Delany,GIBR,2019-2021,13,13,3,243,69*,24.30,224,108.48,0,2,1,26,1
ZE Green,NAM,2019-2022,32,25,4,243,26,11.57,262,92.74,0,0,3,18,4
Shafiq Sharif,MAL,2019-2021,13,13,1,243,53,20.25,190,127.89,0,1,3,33,6
M Shumba,ZIM,2020-2022,14,12,4,243,66*,30.37,205,118.53,0,1,0,14,11
Umar Adam,Mald,2019-2021,18,17,1,242,53,15.12,209,115.78,0,1,2,23,7
GSNFG Jayasuriya,SL,2015-2020,18,16,0,241,40,15.06,222,108.55,0,0,1,20,8
UT Khawaja,AUS,2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
JN Malan,SA,2019-2021,11,11,0,241,55,21.90,186,129.56,0,1,1,25,11
T Whiteman,LUX,2019-2021,14,12,5,241,55*,34.42,205,117.56,0,1,1,25,6
K Motlhanka,BOT,2019-2021,11,10,0,240,74,24.00,219,109.58,0,2,0,23,7
SW Poynter,IRE,2015-2019,25,21,6,240,39,16.00,213,112.67,0,0,0,22,6
Ashfaq Ahmed,UAE,2018-2019,12,12,0,238,75,19.83,185,128.64,0,3,2,32,6
J Mubarak,SL,2007-2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8
K Dasan,BUL,2019-2020,10,9,1,237,74,29.62,222,106.75,0,1,0,19,4
Khalid Latif,PAK,2008-2016,13,13,2,237,59*,21.54,229,103.49,0,1,1,25,6
Nurul Hasan,BAN,2016-2021,30,26,7,237,30*,12.47,211,112.32,0,0,3,18,4
JK Vifah,Ghana,2019-2021,14,14,1,237,50,18.23,205,115.60,0,1,0,24,6
RE Levi,SA,2012-2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15
YK Pathan,INDIA,2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
Talha Khan,GER,2019-2022,16,16,3,235,51*,18.07,259,90.73,0,1,3,21,3
AT Carey,AUS,2018-2021,38,26,5,233,37*,11.09,215,108.37,0,0,2,19,7
Muhammad Younis,BHR,2020-2022,11,11,1,233,82*,23.30,167,139.52,0,1,2,24,11
ES Szwarczynski,NED,2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
E Niyomugabo,RWN,2021-2021,11,11,1,232,61,23.20,191,121.46,0,2,0,16,8
R Panchal,ESP,2019-2022,17,14,4,232,71*,23.20,247,93.92,0,1,1,9,7
TS Bharaj,DEN,2019-2022,15,14,1,231,63*,17.76,225,102.66,0,2,1,15,2
N Khanna,MLT,2019-2022,19,19,7,231,37*,19.25,170,135.88,0,0,0,24,5
JF Mooney,IRE,2009-2015,27,23,9,231,31*,16.50,214,107.94,0,0,0,25,1
AR Cusack,IRE,2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6
G Manan,ROM,2019-2021,14,13,0,229,40,17.61,145,157.93,0,0,2,27,13
Aftab Ahmed,BAN,2006-2010,11,11,1,228,62*,22.80,178,128.08,0,1,0,26,6
BFW de Leede,NED,2018-2021,16,13,2,228,81*,20.72,224,101.78,0,1,2,15,9
T Mishra,KENYA,2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
C Bisson,JER,2019-2019,14,14,2,226,54,18.83,177,127.68,0,1,3,24,5
SO Ngoche,KENYA,2010-2021,41,26,9,226,41*,13.29,212,106.60,0,0,2,22,5
DAS Gunaratne,SL,2016-2017,12,12,3,225,84*,25.00,178,126.40,0,2,2,19,6
Inam-ul-Haq,QAT,2019-2019,11,11,2,225,73*,25.00,205,109.75,0,1,1,28,2
Sajid Cheema,Saudi,2019-2021,11,11,0,225,52,20.45,204,110.29,0,1,1,20,11
MN van Wyk,SA,2007-2015,8,7,1,225,114*,37.50,157,143.31,1,1,0,19,14
CAK Walton,WI,2014-2018,19,17,0,225,40,13.23,203,110.83,0,0,5,23,11
PD Hennessy,ESP,2019-2021,13,11,1,223,71,22.30,197,113.19,0,2,2,13,9
T Manders,BMUDA,2021-2021,6,6,0,223,84,37.16,185,120.54,0,1,0,23,7
Sompal Kami,NEPAL,2014-2022,37,22,7,222,40,14.80,195,113.84,0,0,1,17,8
A Ferguson,Arg,2019-2021,11,9,3,221,86*,36.83,217,101.84,0,2,1,21,3
Zeeshan Khan,MLT,2020-2022,16,15,0,221,47,14.73,204,108.33,0,0,2,24,3
RK Paudel,NEPAL,2019-2022,16,15,2,220,51,16.92,185,118.91,0,1,0,20,3
AD Poynter,IRE,2012-2016,19,14,3,219,57,19.90,184,119.02,0,1,1,21,8
Tanwir Afzal,HKG,2014-2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15
Sher Sahak,NOR,2021-2022,9,9,2,217,70*,31.00,146,148.63,0,1,0,15,14
TT Bresnan,ENG,2006-2014,34,22,9,216,47*,16.61,170,127.05,0,0,3,16,6
Mahedi Hasan,BAN,2018-2022,31,23,6,216,30*,12.70,211,102.36,0,0,5,13,8
DO Obuya,KENYA,2007-2012,10,10,2,216,65*,27.00,228,94.73,0,2,1,22,4
CN Onwuzulike,NGA,2019-2021,15,15,1,216,54,15.42,214,100.93,0,1,2,15,8
MJG Rippon,NED,2013-2018,18,11,4,216,42,30.85,192,112.50,0,0,2,15,3
KMDN Kulasekara,SL,2008-2017,58,30,9,215,31,10.23,184,116.84,0,0,4,14,7
SS McKechnie,HKG,2019-2020,19,17,7,215,44,21.50,223,96.41,0,0,2,14,2
Mohamed Arief,MAL,2019-2020,12,11,2,215,52*,23.88,171,125.73,0,1,0,23,5
EMDY Munaweera,SL,2012-2017,13,13,1,215,53,17.91,164,131.09,0,1,1,25,7
LA Dunbar,SRB,2019-2021,6,6,2,214,104*,53.50,127,168.50,1,1,2,15,19
S Prasanna,SL,2013-2017,20,20,6,214,37*,15.28,161,132.91,0,0,0,13,13
RG Aga,KENYA,2008-2013,20,18,2,213,52*,13.31,196,108.67,0,1,0,15,5
DA Blignaut,GER,2021-2022,16,15,2,213,47*,16.38,240,88.75,0,0,1,12,8
Aaron Jones,USA,2019-2021,14,12,6,211,50,35.16,194,108.76,0,1,0,12,7
Anwar Arudin,MAL,2019-2021,21,21,0,211,32,10.04,207,101.93,0,0,5,24,7
O Harvey,Ghana,2021-2021,11,9,2,211,54*,30.14,185,114.05,0,1,0,25,3
Haris Sohail,PAK,2013-2019,14,13,2,210,52,19.09,204,102.94,0,2,1,16,3
CA Ingram,SA,2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
MNM Aslam,KUW,2019-2021,15,9,2,209,55,29.85,199,105.02,0,1,1,19,4
R Rohan,SGP,2019-2020,13,12,0,209,49,17.41,175,119.42,0,0,2,25,6
Zahir Mohammed,HUN,2021-2022,10,9,0,209,78,23.22,130,160.76,0,1,0,17,14
Ghulam Shabber,UAE,2016-2019,17,14,3,208,58*,18.90,182,114.28,0,1,0,24,4
NA Greenwood,JER,2019-2022,11,11,0,208,48,18.90,165,126.06,0,0,1,24,3
BMAJ Mendis,SL,2011-2018,22,15,4,207,43*,18.81,174,118.96,0,0,1,18,6
RM Siri,Arg,2019-2021,10,10,2,206,49*,25.75,203,101.47,0,0,1,17,2
DL Vettori,NZ,2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2
Najjam Shahzad,PORT,2019-2021,8,7,3,204,53*,51.00,143,142.65,0,1,0,8,17
JM Kemp,SA,2005-2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10
DS Smith,WI,2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
R Gunasekera,CAN,2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4
A Otwani,UGA,2019-2022,17,16,0,202,44,12.62,198,102.02,0,0,4,25,3
J Botha,SA,2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9
F Akankwasa,UGA,2020-2022,27,16,4,200,66,16.66,151,132.45,0,1,1,18,10
Mosaddek Hossain,BAN,2016-2021,16,15,5,200,34*,20.00,189,105.82,0,0,1,11,6
S Pokhriyal,CZK-R,2019-2020,9,9,1,200,79,25.00,186,107.52,0,1,1,31,3
DM Gondaria,KENYA,2013-2019,11,9,2,199,85*,28.42,157,126.75,0,1,0,12,6
TK Musakanda,ZIM,2018-2021,12,12,0,197,43,16.41,164,120.12,0,0,2,17,4
R Nehonde,BOT,2019-2021,11,11,1,197,63,19.70,208,94.71,0,1,1,18,1
Abdul-Shakoor Rahimzei,GER,2019-2021,17,15,1,196,59,14.00,207,94.68,0,1,2,17,3
R Escobar,Arg,2019-2021,11,9,3,196,55,32.66,208,94.23,0,1,0,15,2
LB Ferbrache,GUE,2019-2022,17,14,2,196,55,16.33,222,88.28,0,1,0,7,3
Mohammad Saifuddin,BAN,2017-2021,29,17,6,196,39*,17.81,170,115.29,0,0,2,16,7
Sohail Tanvir,PAK,2007-2017,57,25,8,196,41,11.52,164,119.51,0,0,2,16,9
RN Patel,KENYA,2019-2021,15,14,3,195,26,17.72,167,116.76,0,0,3,23,2
SA Ahmad,DEN,2019-2022,14,12,1,194,44,17.63,211,91.94,0,0,0,16,3
Fawad Alam,PAK,2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
K Mendon,CZK-R,2019-2021,17,13,7,194,45*,32.33,183,106.01,0,0,0,14,5
AK Mohan,Fin,2019-2022,12,12,0,194,41,16.16,194,100.00,0,0,1,16,6
KH Prajapati,OMA,2021-2022,11,10,2,194,74*,24.25,175,110.85,0,2,2,18,6
M Spoors,CAN,2022-2022,5,5,2,194,108*,64.66,141,137.58,1,1,1,24,5
Asad Shafiq,PAK,2010-2012,10,10,0,192,38,19.20,185,103.78,0,0,0,19,2
V Ganesan,GER,2019-2022,24,18,4,192,30,13.71,229,83.84,0,0,0,6,0
Mukhtar Ahmed,PAK,2015-2015,6,6,0,192,83,32.00,134,143.28,0,2,0,23,5
Sulaiman Ali,BUL,2020-2021,14,14,0,192,40,13.71,160,120.00,0,0,1,18,9
Faisal Mubashir,GER,2021-2022,11,10,2,190,45*,23.75,199,95.47,0,0,1,14,4
M Simpson-Parker,Aut,2019-2021,10,8,1,190,65*,27.14,160,118.75,0,2,2,11,6
Yusuf Ebrahim,PNM,2019-2021,9,9,1,190,72,23.75,163,116.56,0,1,1,20,5
Naseem Khushi,OMA,2017-2022,24,16,2,189,29,13.50,146,129.45,0,0,3,9,12
SR Patel,ENG,2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5
P Baron,Arg,2019-2021,11,9,1,188,66*,23.50,174,108.04,0,1,0,16,5
IR Bell,ENG,2006-2014,8,8,1,188,60*,26.85,163,115.33,0,1,0,23,2
D Kansonkho,MWI,2019-2021,13,10,0,188,54,18.80,223,84.30,0,1,2,20,1
Khushdil Shah,PAK,2019-2022,13,12,4,188,36*,23.50,175,107.42,0,0,0,19,5
Ammad Uddin,BHR,2019-2021,12,11,3,187,41*,23.37,109,171.55,0,0,0,18,11
G Chaturvedi,MLT,2019-2022,14,13,1,187,33,15.58,164,114.02,0,0,1,24,2
Ehsan Khan,HKG,2016-2020,23,15,8,187,42*,26.71,158,118.35,0,0,1,11,10
CD McMillan,NZ,2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14
AA Onikoyi,NGA,2019-2021,14,13,1,187,49,15.58,197,94.92,0,0,2,16,8
SP Patil,UAE,2014-2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4
Meet Bhavsar,KUW,2019-2021,13,11,2,185,38,20.55,148,125.00,0,0,0,13,6
AA Jasani,TAN,2021-2021,6,6,1,185,90*,37.00,152,121.71,0,1,0,15,6
LM Jongwe,ZIM,2015-2022,27,20,4,184,34,11.50,180,102.22,0,0,3,15,4
IDA Damarell,GUE,2020-2022,8,8,1,183,52,26.14,161,113.66,0,1,0,22,5
K Doriga,PNG,2019-2021,22,16,2,183,46*,13.07,172,106.39,0,0,1,6,6
BJ Hodge,AUS,2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7
Kushal Malla,NEPAL,2019-2022,15,13,4,183,50*,20.33,127,144.09,0,1,2,14,13
NN Odhiambo,KENYA,2007-2021,35,25,4,183,41,8.71,195,93.84,0,0,5,18,4
Rashid Khan,AFG/ICC,2015-2022,58,29,13,183,33,11.43,154,118.83,0,0,6,11,11
DJ Willey,ENG,2015-2021,32,21,8,182,29*,14.00,137,132.84,0,0,1,10,11
Fiaz Ahmed,BHR,2019-2021,10,10,3,181,62*,25.85,140,129.28,0,1,2,8,13
A Kheterpal,HUN,2021-2022,10,10,5,181,42,36.20,147,123.12,0,0,1,21,4
JS Malhotra,USA,2019-2021,12,10,0,181,38,18.10,155,116.77,0,0,0,17,5
Raza Iqbal,NOR,2019-2022,13,13,2,181,39,16.45,187,96.79,0,0,0,23,2
Sahir Naqash,GER,2019-2021,21,16,7,181,38*,20.11,143,126.57,0,0,4,11,8
RA Sealy,Caym,2022-2022,5,5,1,181,73*,45.25,96,188.54,0,1,0,6,15
Bilal Muhammad,MLT,2021-2022,24,15,6,180,35*,20.00,104,173.07,0,0,2,8,12
S Nadigotla,ROM,2019-2022,14,10,1,180,55,20.00,142,126.76,0,1,0,18,5
C Tommy,VAN,2019-2019,12,11,0,180,47,16.36,191,94.24,0,0,2,6,8
Imran Ali Butt,BHR,2019-2021,12,10,0,179,58,17.90,188,95.21,0,2,4,10,8
JP Inglis,AUS,2022-2022,6,6,1,179,48,35.80,123,145.52,0,0,0,18,3
CAJ Meschede,GER,2019-2019,5,5,1,179,67,44.75,115,155.65,0,1,1,9,14
AR Patwa,TAN,2021-2021,10,10,0,179,36,17.90,140,127.85,0,0,1,19,8
Nazimuddin,BAN,2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10
Sidhant Singh,SGP,2019-2020,11,9,2,178,77,25.42,135,131.85,0,2,1,15,6
J Bulele,MOZ,2019-2021,11,11,0,176,59,16.00,198,88.88,0,1,2,24,0
Kaleem Shah,MOZ,2019-2019,7,7,1,176,72*,29.33,170,103.52,0,1,1,21,4
Mohammad Naveed,UAE,2015-2019,31,24,10,176,27*,12.57,147,119.72,0,0,3,17,8
Omar Rassol,BUL,2021-2022,12,12,2,175,63*,17.50,139,125.89,0,1,1,12,10
LPC Silva,SL,2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3
BS Stephenson,Blz,2019-2021,9,9,1,175,69,21.87,139,125.89,0,1,1,15,11
SV Samson,INDIA,2015-2022,13,12,0,174,39,14.50,143,121.67,0,0,1,10,8
JT Smuts,SA,2017-2021,13,13,0,174,45,13.38,165,105.45,0,0,1,18,6
A Venkatesh,SWE,2021-2021,7,7,0,174,54,24.85,142,122.53,0,1,0,18,1
L Vincent,NZ,2006-2007,9,9,0,174,42,19.33,174,100.00,0,0,1,17,3
K Waiswa,UGA,2020-2022,15,12,1,174,39,15.81,197,88.32,0,0,3,14,5
CD Wallace,SCOT,2012-2021,21,16,6,173,27,17.30,161,107.45,0,0,1,15,3
OGL Bascome,BMUDA,2019-2021,17,17,2,172,22,11.46,178,96.62,0,0,0,16,6
FA Cossa,MOZ,2019-2021,10,10,2,172,59,21.50,152,113.15,0,1,0,15,10
