name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank
RA Jadeja,INDIA,21.73,124.42,0.126,1.138,0.483,6.138,0.0,27.036,Good
S Vesawkar,NEPAL,23.21,99.08,0.101,1.737,0.263,9.421,0.0,22.996,Good
Hamza Tariq,CAN,29.45,161.19,0.204,2.05,0.45,6.6,0.15,47.47,Good
LE Bosman,SA,24.84,147.48,0.215,3.357,0.071,6.786,0.214,36.634,Good
TWM Latham,NZ,24.76,106.27,0.089,1.8,0.133,13.6,0.133,26.312,Good
Anshuman Rath,HKG,18.88,93.31,0.096,1.737,0.105,9.737,0.0,17.617,Average
S Periyalwar,ROM,35.66,123.93,0.17,2.75,0.438,8.062,0.188,44.193,Good
PBB Rajapaksa,SL,26.66,136.17,0.183,2.867,0.2,7.467,0.133,36.303,Good
B Bhandari,NEPAL,15.95,109.24,0.123,1.333,0.259,5.593,0.074,17.424,Average
M Taylor,BHM,29.0,117.71,0.162,4.0,0.0,9.727,0.273,34.136,Good
Bakhtiar Tahiri,BUL,31.7,116.97,0.17,4.182,0.091,9.364,0.091,37.079,Good
KS Leverock,BMUDA,21.13,130.45,0.165,2.222,0.167,6.722,0.056,27.564,Good
Zaheer Ibrahim,QAT,18.64,113.21,0.154,1.955,0.227,5.864,0.045,21.102,Good
BDH Stevens,JER,19.75,100.31,0.114,2.118,0.059,9.412,0.0,19.811,Average
NJ Ferraby,JER,18.47,110.56,0.144,2.278,0.056,8.111,0.056,20.42,Good
Manpreet Singh,SGP,26.0,116.85,0.101,1.929,0.143,13.714,0.0,30.381,Good
N Nipiko,VAN,26.0,105.05,0.098,2.071,0.143,12.143,0.143,27.313,Good
Sami Sohail,MWI,78.0,114.7,0.103,2.545,0.636,17.273,0.182,89.466,Good
Shaheryar Butt,BELG,44.42,162.82,0.225,4.3,0.3,9.7,0.3,72.325,Good
MWR Stokes,GUE,28.27,100.97,0.094,2.071,0.214,13.214,0.0,28.544,Good
CR Brathwaite,WI,14.76,113.13,0.128,1.296,0.222,4.667,0.0,16.698,Average
JJ Atkinson,HKG,22.07,111.55,0.144,2.5,0.125,8.188,0.125,24.619,Good
ML Hayden,AUS,51.33,143.92,0.234,5.556,0.333,9.111,0.444,73.874,Good
Waqas Barkat,HKG,13.95,92.19,0.075,1.0,0.12,8.28,0.0,12.861,Average
Razmal Shigiwal,AUT,38.25,136.6,0.147,3.3,0.2,14.4,0.3,52.25,Good
II Selemani,TAN,33.55,165.02,0.284,5.2,0.1,6.2,0.2,55.364,Good
CN Ackermann,NED,27.27,118.57,0.111,2.0,0.214,12.429,0.0,32.334,Good
XM Marshall,USA/WI,17.64,103.44,0.121,1.944,0.056,7.889,0.0,18.247,Average
NL McCullum,NZ,11.5,100.67,0.091,0.659,0.366,4.268,0.0,11.577,Average
RR Sarwan,WI,22.92,104.19,0.087,1.562,0.188,11.625,0.125,23.88,Good
SSM Stanislaus,MLT,19.86,103.83,0.111,1.684,0.211,7.789,0.0,20.621,Good
Awais Ahmed,ESP,27.0,115.11,0.136,2.692,0.154,10.385,0.154,31.08,Good
BBJL Perera,ITA,29.7,115.11,0.147,3.167,0.167,10.75,0.083,34.188,Good
H Patel,CAN,21.0,103.15,0.109,2.067,0.067,10.933,0.133,21.662,Good
CA Lynn,AUS,19.4,131.67,0.19,2.625,0.062,5.938,0.0,25.544,Good
HDRL Thirimanne,SL,16.16,108.98,0.12,1.6,0.1,7.65,0.0,17.611,Average
Haroon Arshad,HKG,26.27,135.68,0.146,2.067,0.267,9.8,0.067,35.643,Good
Ishan Kishan,INDIA,32.11,121.42,0.176,4.2,0.1,10.5,0.2,38.988,Good
AN Kervezee,NED,32.11,110.3,0.095,2.5,0.1,17.7,0.2,35.417,Good
Amoluk Singh,GHANA,36.12,129.59,0.224,5.0,0.2,7.5,0.2,46.808,Good
Simi Singh,IRE,10.7,109.46,0.095,0.676,0.27,4.676,0.027,11.712,Average
LS Livingstone,ENG,23.75,158.33,0.189,2.615,0.077,8.385,0.154,37.603,Good
A Bagai,CAN,40.57,114.05,0.108,3.0,0.222,19.556,0.222,46.27,Good
Mohammad Shahzad,UAE,15.61,117.57,0.151,1.8,0.1,5.75,0.05,18.353,Average
P Mishra,BUL,11.2,123.89,0.186,1.615,0.038,2.692,0.038,13.876,Average
Aminuddin Ramly,MAL,16.47,148.14,0.175,1.571,0.19,5.143,0.0,24.399,Good
TC Bruce,NZ,18.6,122.36,0.136,1.824,0.118,8.294,0.118,22.759,Good
Azhar Andani,PORT,69.0,154.18,0.184,8.25,0.0,33.0,0.75,106.384,Good
Karan KC,NEPAL,16.23,161.4,0.216,1.609,0.261,3.565,0.0,26.195,Good
SC Getkate,IRE,11.95,111.78,0.102,0.962,0.115,5.577,0.0,13.358,Average
S Muniandy,MAL,15.27,132.21,0.159,1.222,0.333,4.259,0.0,20.188,Good
Shadab Khan,PAK,18.33,136.81,0.159,1.231,0.423,4.346,0.0,25.077,Good
TAM Siriwardana,SL,17.18,132.21,0.135,1.474,0.158,7.316,0.0,22.714,Good
DG Blampied,JER,21.0,100.0,0.062,0.773,0.409,9.318,0.0,21.0,Good
Sohaib Maqsood,PAK,13.65,116.66,0.132,1.409,0.091,5.773,0.0,15.924,Average
AC Gilchrist,AUS,22.66,141.66,0.208,3.077,0.077,6.615,0.0,32.1,Good
Amjad Javed,UAE,18.06,111.98,0.132,1.778,0.167,6.278,0.056,20.224,Good
Iftikhar Ahmed,PAK,30.11,134.15,0.149,1.875,0.438,8.438,0.062,40.393,Good
BR McDermott,AUS,15.82,94.38,0.084,1.143,0.19,7.476,0.048,14.931,Average
MV Boucher,SA,17.86,97.45,0.087,1.143,0.286,8.0,0.0,17.405,Average
FA Allen,WI,16.68,136.92,0.185,1.5,0.333,3.375,0.0,22.838,Good
Ahmed Hassan,MALD,19.0,92.04,0.1,2.071,0.0,10.143,0.071,17.488,Average
PK Matautaava,VAN,26.5,169.87,0.25,3.9,0.0,6.9,0.3,45.016,Good
JO Holder,WI,16.5,121.1,0.138,1.25,0.333,4.667,0.0,19.981,Average
Muhammad Kashif,KUW,26.4,105.17,0.116,2.071,0.286,8.571,0.143,27.765,Good
Zeeshan Kukikhel,HUN,65.75,175.33,0.313,11.75,0.0,13.75,0.75,115.279,Good
Shahid Wasif,HKG,20.07,112.01,0.12,1.647,0.235,7.824,0.059,22.48,Good
Bilal Zalmai,AUT,43.16,175.0,0.264,5.571,0.143,10.143,0.286,75.53,Good
Faheem Ashraf,PAK,11.77,128.21,0.149,1.034,0.241,3.759,0.0,15.09,Average
T Taibu,ZIM,28.77,100.77,0.082,1.4,0.4,11.4,0.0,28.992,Good
Adnan Ilyas,OMA,23.45,118.34,0.11,2.182,0.0,13.273,0.091,27.751,Good
Najeeb Tarakai,AFG,21.5,122.85,0.162,2.833,0.0,8.0,0.083,26.413,Good
Khurram Nawaz,OMA,19.76,119.53,0.135,1.611,0.278,6.5,0.056,23.619,Good
Saim Hussain,BUL,51.4,161.63,0.201,5.333,0.167,18.167,0.667,83.078,Good
MR Adair,IRE,12.19,111.79,0.1,0.793,0.276,4.966,0.0,13.627,Average
SE Marsh,AUS,18.21,102.82,0.101,1.667,0.067,9.0,0.0,18.724,Average
O Tuyisenge,RWN,28.33,141.66,0.189,3.091,0.182,9.909,0.182,40.132,Good
K Nassoro,TAN,50.8,136.55,0.156,2.9,0.5,12.0,0.1,69.367,Good
SF Mire,ZIM,31.62,129.08,0.184,4.5,0.0,10.375,0.25,40.815,Good
Abhijeet Ahuja,HUN,28.0,106.32,0.11,2.6,0.1,13.8,0.2,29.77,Good
Dylan Steyn,CZK-R,42.0,152.72,0.224,6.167,0.0,15.333,0.5,64.142,Good
V Saini,ROM,31.5,144.82,0.155,1.929,0.429,9.429,0.071,45.618,Good
D Muhumuza,UGA,22.72,110.13,0.137,1.722,0.389,5.889,0.056,25.022,Good
DT Johnston,IRE,20.75,135.32,0.13,1.263,0.368,6.895,0.053,28.079,Good
TG Southee,NZ,11.31,142.28,0.183,0.889,0.389,2.472,0.0,16.092,Average
RV Uthappa,INDIA,24.9,118.0,0.152,2.667,0.167,9.083,0.083,29.382,Good
R Bakum,GHANA,18.84,131.72,0.183,2.429,0.071,5.643,0.143,24.816,Good
IO Okpe,NGA,14.35,95.68,0.063,0.889,0.056,9.0,0.0,13.73,Average
CJ Delany,GIBR,24.3,108.48,0.121,2.077,0.231,10.231,0.154,26.361,Good
ZE Green,NAM,11.57,92.74,0.084,0.88,0.16,5.88,0.0,10.73,Average
Shafiq Sharif,MAL,20.25,127.89,0.205,3.0,0.077,5.769,0.077,25.898,Good
M Shumba,ZIM,30.37,118.53,0.122,2.083,0.333,10.083,0.083,35.998,Good
Umar Adam,MALD,15.12,115.78,0.144,1.765,0.059,6.353,0.059,17.506,Average
GSNFG Jayasuriya,SL,15.06,108.55,0.126,1.75,0.0,7.062,0.0,16.348,Average
UT Khawaja,AUS,26.77,132.41,0.198,4.0,0.0,9.667,0.111,35.446,Good
JN Malan,SA,21.9,129.56,0.194,3.273,0.0,6.818,0.091,28.374,Good
T Whiteman,LUX,34.42,117.56,0.151,2.583,0.417,8.75,0.083,40.464,Good
K Motlhanka,BOT,24.0,109.58,0.137,3.0,0.0,10.6,0.2,26.299,Good
SW Poynter,IRE,16.0,112.67,0.131,1.333,0.286,5.524,0.0,18.027,Average
Ashfaq Ahmed,UAE,19.83,128.64,0.205,3.167,0.0,6.167,0.25,25.509,Good
J Mubarak,SL,21.63,126.59,0.154,1.933,0.267,7.067,0.0,27.381,Good
K Dasan,BUL,29.62,106.75,0.104,2.556,0.111,15.222,0.111,31.619,Good
Khalid Latif,PAK,21.54,103.49,0.135,2.385,0.154,7.769,0.077,22.292,Good
Nurul Hasan,BAN,12.47,112.32,0.104,0.846,0.269,5.423,0.0,14.006,Average
JK Vifah,GHANA,18.23,115.6,0.146,2.143,0.071,7.5,0.071,21.074,Good
RE Levi,SA,21.45,141.31,0.21,2.692,0.154,5.077,0.231,30.311,Good
YK Pathan,INDIA,18.15,146.58,0.174,1.556,0.278,5.0,0.0,26.604,Good
Talha Khan,GER,18.07,90.73,0.093,1.5,0.188,8.312,0.062,16.395,Average
AT Carey,AUS,11.09,108.37,0.121,1.0,0.192,4.423,0.0,12.018,Average
Muhammad Younis,BHR,23.3,139.52,0.21,3.182,0.091,6.455,0.091,32.508,Good
ES Szwarczynski,NED,21.18,95.88,0.099,2.0,0.083,11.083,0.0,20.307,Good
E Niyomugabo,RWN,23.2,121.46,0.126,2.182,0.091,10.909,0.182,28.179,Good
R Panchal,ESP,23.2,93.92,0.065,1.143,0.286,11.0,0.071,21.789,Good
TS Bharaj,DEN,17.76,102.66,0.076,1.214,0.071,11.357,0.143,18.232,Average
N Khanna,MLT,19.25,135.88,0.171,1.526,0.368,5.526,0.0,26.157,Good
JF Mooney,IRE,16.5,107.94,0.121,1.13,0.391,5.435,0.0,17.81,Average
AR Cusack,IRE,15.26,129.37,0.13,1.095,0.286,5.952,0.048,19.742,Average
G Manan,ROM,17.61,157.93,0.276,3.077,0.0,3.308,0.0,27.811,Good
BFW de Leede,NED,20.72,101.78,0.107,1.846,0.154,8.769,0.077,21.089,Good
T Mishra,KENYA,15.13,86.31,0.072,1.267,0.0,9.533,0.0,13.059,Average
C Bisson,JER,18.83,127.68,0.164,2.071,0.143,7.143,0.071,24.042,Good
SO Ngoche,KENYA,13.29,106.6,0.127,1.038,0.346,4.154,0.0,14.167,Average
Inam-ul-Haq,QAT,25.0,109.75,0.146,2.727,0.182,9.182,0.091,27.438,Good
Sajid Cheema,SAUDI,20.45,110.29,0.152,2.818,0.0,7.182,0.091,22.554,Good
MN van Wyk,SA,37.5,143.31,0.21,4.714,0.143,9.286,0.429,53.741,Good
CAK Walton,WI,13.23,110.83,0.167,2.0,0.0,3.941,0.0,14.663,Average
PD Hennessy,ESP,22.3,113.19,0.112,2.0,0.091,10.636,0.182,25.241,Good
T Manders,BMUDA,37.16,120.54,0.162,5.0,0.0,14.833,0.167,44.793,Good
Sompal Kami,NEPAL,14.8,113.84,0.128,1.136,0.318,4.818,0.0,16.848,Average
A Ferguson,ARG,36.83,101.84,0.111,2.667,0.333,13.222,0.222,37.508,Good
Zeeshan Khan,MLT,14.73,108.33,0.132,1.8,0.0,7.133,0.0,15.957,Average
RK Paudel,NEPAL,16.92,118.91,0.124,1.533,0.133,8.133,0.067,20.12,Good
AD Poynter,IRE,19.9,119.02,0.158,2.071,0.214,6.214,0.071,23.685,Good
Tanwir Afzal,HKG,13.68,126.58,0.139,1.333,0.111,5.167,0.056,17.316,Average
Sher Sahak,NOR,31.0,148.63,0.199,3.222,0.222,8.111,0.111,46.075,Good
TT Bresnan,ENG,16.61,127.05,0.129,1.0,0.409,5.273,0.0,21.103,Good
Mahedi Hasan,BAN,12.7,102.36,0.1,0.913,0.261,5.043,0.0,13.0,Average
DO Obuya,KENYA,27.0,94.73,0.114,2.6,0.2,10.4,0.2,25.577,Good
CN Onwuzulike,NGA,15.42,100.93,0.107,1.533,0.067,7.2,0.067,15.563,Average
MJG Rippon,NED,30.85,112.5,0.094,1.636,0.364,12.545,0.0,34.706,Good
KMDN Kulasekara,SL,10.23,116.84,0.114,0.7,0.3,3.9,0.0,11.953,Average
SS McKechnie,HKG,21.5,96.41,0.072,0.941,0.412,8.647,0.0,20.728,Good
Mohamed Arief,MAL,23.88,125.73,0.164,2.545,0.182,8.455,0.091,30.024,Good
EMDY Munaweera,SL,17.91,131.09,0.195,2.462,0.077,5.615,0.077,23.478,Good
LA Dunbar,SRB,53.5,168.5,0.268,5.667,0.333,6.667,0.5,90.148,Good
S Prasanna,SL,15.28,132.91,0.161,1.3,0.3,4.2,0.0,20.309,Good
RG Aga,KENYA,13.31,108.67,0.102,1.111,0.111,6.833,0.056,14.464,Average
DA Blignaut,GER,16.38,88.75,0.083,1.333,0.133,7.8,0.0,14.537,Average
Aaron Jones,USA,35.16,108.76,0.098,1.583,0.5,10.083,0.083,38.24,Good
Anwar Arudin,MAL,10.04,101.93,0.15,1.476,0.0,3.476,0.0,10.234,Average
O Harvey,GHANA,30.14,114.05,0.151,3.111,0.222,10.333,0.111,34.375,Good
Haris Sohail,PAK,19.09,102.94,0.093,1.462,0.154,9.846,0.154,19.651,Average
CA Ingram,SA,26.25,129.62,0.185,3.333,0.111,8.444,0.111,34.025,Good
MNM Aslam,KUW,29.85,105.02,0.116,2.556,0.222,12.111,0.111,31.348,Good
R Rohan,SGP,17.41,119.42,0.177,2.583,0.0,6.083,0.0,20.791,Good
Zahir Mohammed,HUN,23.22,160.76,0.238,3.444,0.0,6.333,0.111,37.328,Good
Ghulam Shabber,UAE,18.9,114.28,0.154,2.0,0.214,6.286,0.071,21.599,Good
NA Greenwood,JER,18.9,126.06,0.164,2.455,0.0,8.545,0.0,23.825,Good
BMAJ Mendis,SL,18.81,118.96,0.138,1.6,0.267,6.6,0.0,22.376,Good
RM Siri,ARG,25.75,101.47,0.094,1.9,0.2,12.6,0.0,26.129,Good
DL Vettori,NZ,12.81,107.89,0.084,0.727,0.273,6.227,0.0,13.821,Average
Najjam Shahzad,PORT,51.0,142.65,0.175,3.571,0.429,10.0,0.143,72.752,Good
DS Smith,WI,33.83,126.08,0.168,4.5,0.0,14.167,0.333,42.653,Good
R Gunasekera,CAN,25.25,107.44,0.144,3.375,0.0,10.75,0.125,27.129,Good
A Otwani,UGA,12.62,102.02,0.141,1.75,0.0,5.25,0.0,12.875,Average
J Botha,SA,18.27,121.81,0.145,1.2,0.45,4.35,0.0,22.255,Good
F Akankwasa,UGA,16.66,132.45,0.185,1.75,0.25,4.25,0.062,22.066,Good
Mosaddek Hossain,BAN,20.0,105.82,0.09,1.133,0.333,8.0,0.0,21.164,Good
S Pokhriyal,CZK-R,25.0,107.52,0.183,3.778,0.111,6.444,0.111,26.88,Good
DM Gondaria,KENYA,28.42,126.75,0.115,2.0,0.222,12.778,0.111,36.022,Good
TK Musakanda,ZIM,16.41,120.12,0.128,1.75,0.0,8.75,0.0,19.712,Average
R Nehonde,BOT,19.7,94.71,0.091,1.727,0.091,10.818,0.091,18.658,Average
Abdul-Shakoor Rahimzei,GER,14.0,94.68,0.097,1.333,0.067,7.333,0.067,13.255,Average
R Escobar,ARG,32.66,94.23,0.082,1.889,0.333,13.778,0.111,30.776,Good
LB Ferbrache,GUE,16.33,88.28,0.045,0.714,0.143,10.714,0.071,14.416,Average
Mohammad Saifuddin,BAN,17.81,115.29,0.135,1.353,0.353,5.294,0.0,20.533,Good
Sohail Tanvir,PAK,11.52,119.51,0.152,1.0,0.32,3.12,0.0,13.768,Average
SA Ahmad,DEN,17.63,91.94,0.09,1.583,0.083,9.333,0.0,16.209,Average
Fawad Alam,PAK,17.63,114.79,0.083,0.824,0.353,7.294,0.0,20.237,Good
K Mendon,CZK-R,32.33,106.01,0.104,1.462,0.538,8.308,0.0,34.273,Good
AK Mohan,FIN,16.16,100.0,0.113,1.833,0.0,7.833,0.0,16.16,Average
KH Prajapati,OMA,24.25,110.85,0.137,2.4,0.2,8.6,0.2,26.881,Good
M Spoors,CAN,64.66,137.58,0.206,5.8,0.4,13.6,0.6,88.959,Good
Asad Shafiq,PAK,19.2,103.78,0.114,2.1,0.0,10.4,0.0,19.926,Average
V Ganesan,GER,13.71,83.84,0.026,0.333,0.222,9.333,0.0,11.494,Average
Mukhtar Ahmed,PAK,32.0,143.28,0.209,4.667,0.0,11.667,0.333,45.85,Good
Sulaiman Ali,BUL,13.71,120.0,0.169,1.929,0.0,4.714,0.0,16.452,Average
Faisal Mubashir,GER,23.75,95.47,0.09,1.8,0.2,11.0,0.0,22.674,Good
M Simpson-Parker,AUT,27.14,118.75,0.106,2.125,0.125,13.75,0.25,32.229,Good
Yusuf Ebrahim,PNM,23.75,116.56,0.153,2.778,0.111,8.889,0.111,27.683,Good
Naseem Khushi,OMA,13.5,129.45,0.144,1.312,0.125,5.062,0.0,17.476,Average
SR Patel,ENG,15.75,109.24,0.127,1.571,0.143,6.5,0.071,17.205,Average
P Baron,ARG,23.5,108.04,0.121,2.333,0.111,10.444,0.111,25.389,Good
IR Bell,ENG,26.85,115.33,0.153,3.125,0.125,10.5,0.125,30.966,Good
D Kansonkho,MWI,18.8,84.3,0.094,2.1,0.0,10.2,0.1,15.848,Average
Khushdil Shah,PAK,23.5,107.42,0.137,2.0,0.333,6.833,0.0,25.244,Good
Ammad Uddin,BHR,23.37,171.55,0.266,2.636,0.273,4.455,0.0,40.091,Good
G Chaturvedi,MLT,15.58,114.02,0.159,2.0,0.077,6.077,0.0,17.764,Average
Ehsan Khan,HKG,26.71,118.35,0.133,1.4,0.533,5.533,0.0,31.611,Good
CD McMillan,NZ,31.16,159.82,0.188,3.143,0.143,10.143,0.143,49.8,Good
AA Onikoyi,NGA,15.58,94.92,0.122,1.846,0.077,5.769,0.0,14.789,Average
SP Patil,UAE,14.38,85.77,0.092,1.538,0.0,7.615,0.0,12.334,Average
Meet Bhavsar,KUW,20.55,125.0,0.128,1.727,0.182,8.818,0.0,25.688,Good
AA Jasani,TAN,37.0,121.71,0.138,3.5,0.167,14.833,0.167,45.033,Good
LM Jongwe,ZIM,11.5,102.22,0.106,0.95,0.2,5.0,0.0,11.755,Average
IDA Damarell,GUE,26.14,113.66,0.168,3.375,0.125,8.125,0.125,29.711,Good
BJ Hodge,AUS,26.14,127.08,0.111,1.455,0.364,9.545,0.0,33.219,Good
Kushal Malla,NEPAL,20.33,144.09,0.213,2.077,0.308,3.769,0.077,29.293,Good
NN Odhiambo,KENYA,8.71,93.84,0.113,0.88,0.16,3.48,0.0,8.173,Poor
Rashid Khan,AFG,11.43,118.83,0.143,0.759,0.448,2.517,0.0,13.582,Average
DJ Willey,ENG,14.0,132.84,0.153,1.0,0.381,3.619,0.0,18.598,Average
Fiaz Ahmed,BHR,25.85,129.28,0.15,2.1,0.3,7.1,0.1,33.419,Good
A Kheterpal,HUN,36.2,123.12,0.17,2.5,0.5,7.3,0.0,44.569,Good
JS Malhotra,USA,18.1,116.77,0.142,2.2,0.0,8.3,0.0,21.135,Good
Raza Iqbal,NOR,16.45,96.79,0.134,1.923,0.154,5.923,0.0,15.922,Average
Sahir Naqash,GER,20.11,126.57,0.133,1.188,0.438,5.562,0.0,25.453,Good
RA Sealy,CAYM,45.25,188.54,0.219,4.2,0.2,13.4,0.2,85.314,Good
Bilal Muhammad,MLT,20.0,173.07,0.192,1.333,0.4,5.067,0.0,34.614,Good
S Nadigotla,ROM,20.0,126.76,0.162,2.3,0.1,7.8,0.1,25.352,Good
C Tommy,VAN,16.36,94.24,0.073,1.273,0.0,9.818,0.0,15.418,Average
JP Inglis,AUS,35.8,145.52,0.171,3.5,0.167,14.833,0.0,52.096,Good
CAJ Meschede,GER,44.75,155.65,0.2,4.6,0.2,11.8,0.2,69.653,Good
AR Patwa,TAN,17.9,127.85,0.193,2.7,0.0,5.5,0.0,22.885,Good
Nazimuddin,BAN,25.42,112.65,0.146,3.286,0.0,9.429,0.143,28.636,Good
Sidhant Singh,SGP,25.42,131.85,0.156,2.333,0.222,9.111,0.222,33.516,Good
J Bulele,MOZ,16.0,88.88,0.121,2.182,0.0,7.273,0.091,14.221,Average
Kaleem Shah,MOZ,29.33,103.52,0.147,3.571,0.143,9.714,0.143,30.362,Good
Mohammad Naveed,UAE,12.57,119.72,0.17,1.042,0.417,2.5,0.0,15.049,Average
Omar Rassol,BUL,17.5,125.89,0.158,1.833,0.167,5.583,0.083,22.031,Good
LPC Silva,SL,13.46,98.87,0.124,1.467,0.133,5.4,0.0,13.308,Average
BS Stephenson,BLZ,21.87,125.89,0.187,2.889,0.111,5.444,0.111,27.532,Good
SV Samson,INDIA,14.5,121.67,0.126,1.5,0.0,7.167,0.0,17.642,Average
JT Smuts,SA,13.38,105.45,0.145,1.846,0.0,5.077,0.0,14.109,Average
A Venkatesh,SWE,24.85,122.53,0.134,2.714,0.0,13.714,0.143,30.449,Good
L Vincent,NZ,19.33,100.0,0.115,2.222,0.0,9.778,0.0,19.33,Average
K Waiswa,UGA,15.81,88.32,0.096,1.583,0.083,7.333,0.0,13.963,Average
CD Wallace,SCOT,17.3,107.45,0.112,1.125,0.375,5.938,0.0,18.589,Average
OGL Bascome,BMUDA,11.46,96.62,0.124,1.294,0.118,4.235,0.0,11.073,Average
FA Cossa,MOZ,21.5,113.15,0.164,2.5,0.2,5.2,0.1,24.327,Good
PF Gallagher,FIN,21.5,128.35,0.164,2.2,0.2,6.0,0.0,27.595,Good
Nouman Sarwar,QAT,57.33,134.37,0.172,2.444,0.667,8.0,0.0,77.034,Good
T Perera,BOT,19.11,86.43,0.131,2.6,0.1,6.4,0.0,16.517,Average
GD Elliott,NZ,15.54,108.91,0.089,0.933,0.267,7.4,0.0,16.925,Average
MNR Cooray,MALD,34.0,114.86,0.162,4.0,0.167,11.333,0.167,39.052,Good
D Pretorius,SA,24.28,161.9,0.2,1.909,0.364,6.364,0.091,39.309,Good
P Aho,NGA,15.36,106.28,0.082,0.867,0.267,7.533,0.0,16.325,Average
J Broad,GER,42.25,120.71,0.143,4.0,0.2,17.0,0.4,51.0,Good
C Campher,IRE,18.77,111.18,0.092,1.273,0.182,9.727,0.0,20.868,Good
M Vijay,INDIA,18.77,109.74,0.136,2.333,0.0,7.667,0.0,20.598,Good
HV Mandhyan,HUN,18.66,108.38,0.123,1.9,0.1,8.0,0.0,20.224,Good
Mohammad Nadeem,OMA,12.0,92.81,0.077,0.778,0.222,5.778,0.0,11.137,Average
KMA Paul,WI,21.0,117.48,0.133,1.357,0.429,5.0,0.0,24.671,Good
O Bascome,BMUDA,11.85,100.0,0.127,1.4,0.067,4.267,0.0,11.85,Average
HJ Jordaan,THAI,23.71,79.04,0.067,1.75,0.125,12.75,0.0,18.74,Average
I Liyanage,QAT,16.6,101.21,0.134,2.0,0.091,5.818,0.0,16.801,Average
A Pusthay,FIN,13.83,94.31,0.08,1.167,0.0,9.0,0.083,13.043,Average
WA Young,NZ,23.71,102.46,0.13,3.0,0.0,10.0,0.143,24.293,Good
Hamza Dar,ESP,33.0,115.38,0.126,2.571,0.286,11.286,0.143,38.075,Good
Umar Gul,PAK,9.16,105.76,0.135,0.778,0.333,2.259,0.0,9.688,Poor
MD Patel,USA,14.9,112.32,0.158,1.769,0.154,4.615,0.0,16.736,Average
Tarun Sharma,MEX,23.42,102.5,0.112,2.25,0.125,10.0,0.0,24.006,Good
Waqas Khan,HKG,16.4,86.77,0.058,0.786,0.286,7.857,0.071,14.23,Average
TN de Grooth,NED,20.37,105.16,0.11,1.308,0.385,7.154,0.0,21.421,Good
A McAuley,IOM,40.5,98.78,0.085,2.8,0.2,20.8,0.0,40.006,Good
Amjad Sher,FIN,14.63,162.62,0.172,1.417,0.083,6.25,0.0,23.791,Good
H Davids,SA,17.88,120.14,0.164,2.444,0.0,7.222,0.222,21.481,Good
NMS Param,SGP,32.0,135.59,0.153,2.571,0.286,10.857,0.143,43.389,Good
Walid Ghauri,NOR,26.66,96.38,0.114,2.714,0.143,11.143,0.0,25.695,Good
JP Faulkner,AUS,14.45,115.21,0.087,0.667,0.389,5.611,0.0,16.648,Average
Junaid Siddique,BAN,22.71,147.22,0.213,3.286,0.0,7.571,0.143,33.434,Good
Manpreet Singh,ITA,14.45,85.02,0.08,1.25,0.083,7.917,0.0,12.285,Average
A Mansale,VAN,11.35,105.29,0.126,1.357,0.0,5.214,0.0,11.95,Average
RR Watson,SCOT,17.66,112.76,0.163,2.556,0.0,7.222,0.111,19.913,Average
JL Ontong,SA,15.8,144.95,0.156,1.7,0.0,6.8,0.0,22.902,Good
Basil Hameed,UAE,13.08,128.68,0.115,0.933,0.2,5.8,0.0,16.831,Average
Mudassar Bukhari,NED,8.72,103.28,0.092,0.538,0.308,3.577,0.0,9.006,Poor
DT Tiripano,ZIM,14.18,100.64,0.097,1.071,0.214,6.0,0.0,14.271,Average
SP Narine,WI,10.33,112.31,0.13,0.783,0.348,3.174,0.0,11.602,Average
Gurdeep Singh,KENYA,17.11,96.85,0.132,2.333,0.0,7.333,0.0,16.571,Average
Hadisullah Tarakhel,BELG,38.5,183.33,0.321,5.4,0.2,4.8,0.2,70.582,Good
Wahab Riaz,PAK,12.83,125.2,0.138,0.944,0.333,4.0,0.0,16.063,Average
Mirza Ahsan,AUT,51.0,228.35,0.313,3.0,0.571,6.429,0.286,116.458,Good
Devender Singh,GHANA,76.0,143.39,0.17,2.0,0.778,7.333,0.0,108.976,Good
HD Rutherford,NZ,21.57,143.8,0.2,3.0,0.0,7.0,0.143,31.018,Good
SM Sharif,SCOT,13.72,121.77,0.105,0.542,0.542,3.792,0.0,16.707,Average
AM Tribe,JER,21.57,129.05,0.179,3.0,0.0,9.0,0.143,27.836,Good
J Barker,LUX,18.75,88.75,0.101,1.7,0.2,8.0,0.0,16.641,Average
NM Coulter-Nile,AUS,13.63,125.0,0.167,1.333,0.267,3.333,0.0,17.038,Average
Delawar Khan,DEN,13.63,121.95,0.146,1.2,0.267,3.733,0.0,16.622,Average
Jitin Singh,TAN,16.66,129.31,0.181,2.333,0.0,7.111,0.111,21.543,Good
Haroon Mughal,MLT,13.54,124.16,0.142,1.545,0.0,6.455,0.0,16.811,Average
N Pathan,THAI,21.28,116.4,0.133,2.125,0.125,8.375,0.125,24.77,Good
GP Meade,ITA,13.45,84.57,0.074,1.182,0.0,8.364,0.0,11.375,Average
JSE Dunford,JER,20.85,94.19,0.09,0.933,0.533,6.0,0.0,19.639,Average
TS Kamunhukamwe,ZIM,18.25,97.33,0.12,2.25,0.0,9.0,0.0,17.763,Average
R Shepherd,WI,48.66,155.31,0.202,3.167,0.5,7.333,0.0,75.574,Good
